feature,loeo_selection_frequency,median_loeo_rank,q25_loeo_rank,q75_loeo_rank,between_experiment_variance_ratio,pooled_absolute_pearson_with_target,feature_code,full_train_mutual_information
machine_time__mean,1.0,1.0,1.0,1.0,1.0,0.22456886080009492,F1,0.45882429567480654
zmapeak__energy,0.36363636363636365,15.0,11.5,18.0,0.36295670264118,0.5816188418165089,F10,0.36781795292056696
smvrms__energy,0.6363636363636364,11.0,10.0,16.0,0.9201957968656097,0.7814138049895818,F11,0.36772512541677016
spindle_time__energy,0.5454545454545454,12.0,11.5,17.0,0.9708975641215657,0.7771274131461329,F12,0.36763180379762783
z_position__mean,1.0,3.0,3.0,4.0,0.9633713636039065,0.03278981422176526,F2,0.4143274787973077
Tool__train_frequency,1.0,4.0,2.0,5.0,1.0,0.2250704500335164,F3,0.40858245244789737
available_duration_s,1.0,5.0,4.5,7.5,1.0,0.7916561238100354,F4,0.40106787169138713
smarms__energy,0.9090909090909091,6.0,5.0,9.0,0.7628488408797449,0.7633750723791071,F5,0.4008829956491362
part_count__mean,1.0,5.0,3.0,7.0,1.0,0.2071610223630465,F6,0.39950460288047496
smapeak__energy,0.9090909090909091,7.0,7.0,9.0,0.7088437792699246,0.7542255765450094,F7,0.393344579074691
ymapeak__energy,0.8181818181818182,9.0,8.0,14.5,0.6385030840474115,0.7812911787246614,F8,0.37782314104799575
machine_time__energy,0.5454545454545454,13.0,10.0,16.5,0.9774077863782943,0.7792043335354503,F9,0.37090445715969556
