Model,Split,FN:FP cost ratio,Threshold,False negatives,False positives,Cost per path,Seeds
HBAF,Development OOF,1:1,0.5,30.2,34.0,0.11403197158081706,5
TabM calibrated,Development OOF,1:1,0.5,35.0,28.8,0.1133214920071048,5
GaussianNB calibrated,Development OOF,1:1,0.5,37.0,39.8,0.1364120781527531,5
Global learned fusion,Development OOF,1:1,0.5,35.4,29.4,0.11509769094138544,5
HBAF,Development OOF,2:1,0.3333333333333333,14.0,55.2,0.1477797513321492,5
TabM calibrated,Development OOF,2:1,0.3333333333333333,27.6,42.6,0.17371225577264654,5
GaussianNB calibrated,Development OOF,2:1,0.3333333333333333,15.8,52.4,0.1492007104795737,5
Global learned fusion,Development OOF,2:1,0.3333333333333333,18.0,51.4,0.15523978685612788,5
HBAF,Development OOF,5:1,0.16666666666666666,5.6,79.8,0.1914742451154529,5
TabM calibrated,Development OOF,5:1,0.16666666666666666,20.4,65.6,0.29769094138543517,5
GaussianNB calibrated,Development OOF,5:1,0.16666666666666666,9.4,68.8,0.20568383658969808,5
Global learned fusion,Development OOF,5:1,0.16666666666666666,10.0,76.4,0.22451154529307282,5
HBAF,Development OOF,10:1,0.09090909090909091,1.0,95.2,0.18685612788632328,5
TabM calibrated,Development OOF,10:1,0.09090909090909091,16.4,83.2,0.4390763765541741,5
GaussianNB calibrated,Development OOF,10:1,0.09090909090909091,3.8,78.2,0.2063943161634103,5
Global learned fusion,Development OOF,10:1,0.09090909090909091,5.2,94.6,0.2603907637655417,5
