Model,Split,Threshold,Net benefit,Seeds
Treat none,Development OOF,0.1,0.0,5
Treat all,Development OOF,0.1,0.13953029405960132,5
HBAF,Development OOF,0.1,0.20390763765541742,5
TabM calibrated,Development OOF,0.1,0.17963291888691532,5
GaussianNB calibrated,Development OOF,0.1,0.2024866785079929,5
Global learned fusion,Development OOF,0.1,0.19767120584172093,5
Treat none,Development OOF,0.15000000000000002,0.0,5
Treat all,Development OOF,0.15000000000000002,0.08891442900428373,5
HBAF,Development OOF,0.15000000000000002,0.1912861769929997,5
TabM calibrated,Development OOF,0.15000000000000002,0.16965834291087661,5
GaussianNB calibrated,Development OOF,0.15000000000000002,0.19030404346463276,5
Global learned fusion,Development OOF,0.15000000000000002,0.18560234040330165,5
Treat none,Development OOF,0.2,0.0,5
Treat all,Development OOF,0.2,0.03197158081705148,5
HBAF,Development OOF,0.2,0.17957371225577265,5
TabM calibrated,Development OOF,0.2,0.15950266429840143,5
GaussianNB calibrated,Development OOF,0.2,0.17797513321492006,5
Global learned fusion,Development OOF,0.2,0.17388987566607458,5
Treat none,Development OOF,0.25,0.0,5
Treat all,Development OOF,0.25,-0.03256364712847842,5
HBAF,Development OOF,0.25,0.17015985790408525,5
TabM calibrated,Development OOF,0.25,0.15310834813499113,5
GaussianNB calibrated,Development OOF,0.25,0.16779159265837773,5
Global learned fusion,Development OOF,0.25,0.16329188869153347,5
Treat none,Development OOF,0.30000000000000004,0.0,5
Treat all,Development OOF,0.30000000000000004,-0.10631819335194126,5
HBAF,Development OOF,0.30000000000000004,0.1578787109870591,5
TabM calibrated,Development OOF,0.30000000000000004,0.14407510784064956,5
GaussianNB calibrated,Development OOF,0.30000000000000004,0.15899517888860695,5
Global learned fusion,Development OOF,0.30000000000000004,0.1528038568891144,5
Treat none,Development OOF,0.35,0.0,5
Treat all,Development OOF,0.35,-0.191419592840552,5
HBAF,Development OOF,0.35,0.14559366033611149,5
TabM calibrated,Development OOF,0.35,0.13668533952725784,5
GaussianNB calibrated,Development OOF,0.35,0.14704194562098646,5
Global learned fusion,Development OOF,0.35,0.1441453750512365,5
Treat none,Development OOF,0.4,0.0,5
Treat all,Development OOF,0.4,-0.29070455891059815,5
HBAF,Development OOF,0.4,0.13368857312018945,5
TabM calibrated,Development OOF,0.4,0.12989934872705744,5
GaussianNB calibrated,Development OOF,0.4,0.13901716992303137,5
Global learned fusion,Development OOF,0.4,0.13463587921847248,5
Treat none,Development OOF,0.45000000000000007,0.0,5
Treat all,Development OOF,0.45000000000000007,-0.4080413369933799,5
HBAF,Development OOF,0.45000000000000007,0.11852091070563538,5
TabM calibrated,Development OOF,0.45000000000000007,0.12133053447440656,5
GaussianNB calibrated,Development OOF,0.45000000000000007,0.11051186823833359,5
Global learned fusion,Development OOF,0.45000000000000007,0.11997416437913773,5
Treat none,Development OOF,0.5,0.0,5
Treat all,Development OOF,0.5,-0.5488454706927177,5
HBAF,Development OOF,0.5,0.11154529307282415,5
TabM calibrated,Development OOF,0.5,0.11225577264653641,5
GaussianNB calibrated,Development OOF,0.5,0.08916518650088809,5
Global learned fusion,Development OOF,0.5,0.11047957371225577,5
Treat none,Development OOF,0.55,0.0,5
Treat all,Development OOF,0.55,-0.7209394118807977,5
HBAF,Development OOF,0.55,0.10349319123741858,5
TabM calibrated,Development OOF,0.55,0.10361160449970397,5
GaussianNB calibrated,Development OOF,0.55,0.07570554568778368,5
Global learned fusion,Development OOF,0.55,0.10669034931912373,5
Treat none,Development OOF,0.6,0.0,5
Treat all,Development OOF,0.6,-0.9360568383658968,5
HBAF,Development OOF,0.6,0.08738898756660747,5
TabM calibrated,Development OOF,0.6,0.09626998223801067,5
GaussianNB calibrated,Development OOF,0.6,0.05630550621669629,5
Global learned fusion,Development OOF,0.6,0.10035523978685612,5
Treat none,Development OOF,0.65,0.0,5
Treat all,Development OOF,0.65,-1.2126363867038827,5
HBAF,Development OOF,0.65,0.06962699822380106,5
TabM calibrated,Development OOF,0.65,0.0850545546815529,5
GaussianNB calibrated,Development OOF,0.65,0.03181933519411315,5
Global learned fusion,Development OOF,0.65,0.08606952550114184,5
Treat none,Development OOF,0.7000000000000001,0.0,5
Treat all,Development OOF,0.7000000000000001,-1.5814091178211966,5
HBAF,Development OOF,0.7000000000000001,0.05008880994671401,5
TabM calibrated,Development OOF,0.7000000000000001,0.07708703374777973,5
GaussianNB calibrated,Development OOF,0.7000000000000001,-0.0008288928359976716,5
Global learned fusion,Development OOF,0.7000000000000001,0.07128478389579632,5
Treat none,Development OOF,0.75,0.0,5
Treat all,Development OOF,0.75,-2.0976909413854354,5
HBAF,Development OOF,0.75,0.04440497335701599,5
TabM calibrated,Development OOF,0.75,0.06358792184724689,5
GaussianNB calibrated,Development OOF,0.75,-0.046536412078152754,5
Global learned fusion,Development OOF,0.75,0.056127886323268206,5
Treat none,Development OOF,0.8,0.0,5
Treat all,Development OOF,0.8,-2.872113676731795,5
HBAF,Development OOF,0.8,0.04795737122557724,5
