Model,Cohort,Split,repeat,Experiment,n,MCC,Brier,NLL,MCC eligible
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.1320837243604615,0.46709426717006663,True
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.0018390053034713818,0.023427165176580073,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.0009806989840827015,0.015094549144183508,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.37267799624996495,0.16004683812267667,0.45837510470943754,True
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,0.00024104952773580042,0.015412515418462239,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.0009004387435976648,0.021364044475598337,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.08094536222004298,0.26554263984461385,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.00010375337317329169,0.005093881015985157,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,1.0,7.054162115749769e-05,0.0021327920825565355,True
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.14673032467506164,0.4711867860152936,False
HBAF,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,0.02289958082939328,0.11054705196072033,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.15141311961205864,0.9851432010295563,True
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.005675167037431755,0.029994239642439264,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.005112243222987636,0.01651947616984944,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.07273929674533079,0.18539253394498473,0.6388225373651296,True
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,1.7297318862609603e-08,2.580240632273579e-05,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.021600658477373354,0.07014994895534558,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.23452815253614523,0.7140124900241155,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.00017276664227837296,0.0056752095069030365,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,1.0,3.1187503204729536e-08,3.9151491323463405e-05,True
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.02326219635453521,0.1148916461345339,False
TabM calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,2.538602096863212e-05,0.002031726221741368,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.1700375951120617,0.1282337784695326,0.42331844779180083,True
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.000574044187486233,0.023944694458268963,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.0008346980376413622,0.028314169655952043,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.0,0.25372588803817697,0.8036650039116439,True
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,0.0005376540194974218,0.023042406663166065,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.0003027431773722804,0.0175334317339981,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.0035292385270849136,0.04223864357918748,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,2.393468691629511e-05,0.004424671141619029,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,0.0,0.0013539021649924073,0.011666290828864626,True
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.5806013529392592,1.5929069370950852,False
GaussianNB calibrated,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,0.14083133312717602,0.47371829845730823,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.1265615260304169,0.42285027236530326,True
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.00134952928451514,0.025365135114007592,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.0011757830996004352,0.022742985732166945,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.0,0.14573234928203524,0.4233232752596122,True
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,2.2227189218724476e-05,0.004634860824188012,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.014044547007743102,0.05443273408734728,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.2345255530288548,0.7139957614645753,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,0.00017276489351038217,0.005675201589964407,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,1.0,3.126394781108922e-08,3.921621236938441e-05,True
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.023262747727835167,0.11489578987096775,False
Global learned fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,2.54052319844155e-05,0.002033472634314451,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.0,0.1288158241674649,0.43431996656247496,True
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.0019268236499021404,0.02605506687062635,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,0.0016379206318657452,0.021060497853602,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.5255382728122436,0.13667546415221382,0.401706780566478,True
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,0.0001347925148989889,0.011465400582495199,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.005913712576475277,0.03758854695566227,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.06775413275233434,0.23687280736709784,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset12,64,,6.221467130882819e-05,0.0050308335806234766,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset17,27,0.0,0.00034170303931753903,0.005647185981141747,True
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset2,12,,0.18572102682891214,0.5558069705128258,False
Equal fusion,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset4,12,,0.036032382572606485,0.17195301262716645,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset15,64,0.29277002188455997,0.1399935391480267,0.9540015149624983,True
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset16,64,,0.0024413376470548693,0.02084702693993921,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset6,64,,8.71665096678836e-05,0.0037726140139268845,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset14,64,0.2182178902359924,0.20498016683652587,0.6393551010526715,True
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset18,64,,0.0005372485948436396,0.023034702626550295,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset8,64,,0.0003027077320768093,0.01753239716138536,False
MAP gate,Current nested-threshold,Development OOF,1,imi_vmx30ui::dataset11,64,,0.23451567638348297,0.7139006216356139,False
