Comparator,Repeat,Full-only errors,Comparator-only errors,Path-level p; descriptive
TabM calibrated,1,12,48,3.183628737933597e-06
TabM calibrated,2,16,39,0.0026672623828598026
TabM calibrated,3,25,53,0.00203114037416273
TabM calibrated,4,4,28,1.9301194697618484e-05
TabM calibrated,5,50,37,0.1979791406725175
MAP gate,1,20,156,2.6023612310285452e-27
MAP gate,2,0,14,0.0001220703125
MAP gate,3,17,40,0.0032015437674503813
MAP gate,4,1,2,1.0
MAP gate,5,8,13,0.38331031799316406
No hierarchy,1,4,4,1.0
No hierarchy,2,15,10,0.42435622215270996
No hierarchy,3,4,21,0.0009105205535888672
No hierarchy,4,24,0,1.1920928955078125e-07
No hierarchy,5,18,10,0.1849333420395851
Global learned fusion,1,12,43,3.3053764732060564e-05
Global learned fusion,2,3,18,0.0014896392822265625
Global learned fusion,3,18,50,0.00013083876154198454
Global learned fusion,4,19,1,4.00543212890625e-05
Global learned fusion,5,19,44,0.0022275315109880345
