Model,Repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Brier,NLL
HBAF,1,563,0.7806402608452518,0.9393257837814794,0.8894674843872705,0.9834934623997689,0.04649108207900568,0.15703065386688553
TabM calibrated,1,563,0.5752635526410408,0.9025635585620011,0.7826556065885335,0.9683955789929929,0.0691451332005074,0.28217776817925283
GaussianNB calibrated,1,563,0.5296285582850708,0.7777992312046711,0.7361329922695985,0.9596456692913385,0.05952133970950149,0.19994548257706712
Global learned fusion,1,563,0.5994950407604325,0.8923526649600282,0.7916432196215013,0.9718630354691902,0.060015723957125545,0.19267762785040127
Equal fusion,1,563,0.7041601741262655,0.9433011636898647,0.8451788705282368,0.9849743552698115,0.04372505069686233,0.1492504217422213
MAP gate,1,563,0.31445837658171305,0.908982493899394,0.6321720108057317,0.9765766091165211,0.06677351522465298,0.2728328895841658
No hierarchy,1,563,0.7842364173361928,0.9084232462874459,0.8920273972602739,0.9730369139637361,0.052055123749163275,0.18140162987903605
Raw TabM,1,563,0.5232777894766962,0.9097401518458841,0.7615981787137165,0.9674384165282092,0.08949254210989449,0.3083664611110642
HBAF,2,563,0.6512242078529454,0.8147055223509849,0.810837630879825,0.9397890630643647,0.08957144432780009,0.267861556418396
TabM calibrated,2,563,0.5018038389941047,0.81207452718836,0.7463051845237356,0.9287004262081918,0.11618683928924664,0.44738329252563697
GaussianNB calibrated,2,563,0.6492523742253893,0.687800974420536,0.8237135998330027,0.9255399841074912,0.09384090141863485,0.2926337096306291
Global learned fusion,2,563,0.5992798177053825,0.8363949364776591,0.7815691923557092,0.9392111536516651,0.08578926889167285,0.2708399099327205
Equal fusion,2,563,0.626708327798015,0.8056556965935903,0.8004866754866755,0.936231308242433,0.0942367156822458,0.27975622073210166
MAP gate,2,563,0.5649016140700067,0.814755065624331,0.7737574744422298,0.9398071227335115,0.08958646361729374,0.2681194437569401
No hierarchy,2,563,0.7050844306465398,0.8280518190692697,0.8279034662339377,0.9489453153218234,0.08837305696186894,0.2852837084113802
Raw TabM,2,563,0.6584672596788467,0.8076447150822141,0.8288444677466966,0.9102073250018061,0.13112113033170367,0.4449904612259293
HBAF,3,563,0.6828251014879855,0.8482821163698194,0.8354919027923534,0.9476991981506899,0.08292265317639826,0.25187317576560597
TabM calibrated,3,563,0.5394213950601188,0.7833402276685263,0.7663694780126504,0.8960124250523731,0.09814346031201485,0.3255665775277791
GaussianNB calibrated,3,563,0.6492523742253893,0.7476727358792864,0.8237135998330027,0.9407462255291483,0.08763944472059777,0.26716947571299804
Global learned fusion,3,563,0.5172849926620708,0.7989847969461283,0.7557792330855566,0.9057285270533844,0.09461599043175212,0.3097067247313092
Equal fusion,3,563,0.6828251014879855,0.8724452091855494,0.8354919027923534,0.9533699342628044,0.07240368515277912,0.22980608752355022
MAP gate,3,563,0.5470567740351708,0.780922087615085,0.7721707535473206,0.907209419923427,0.10530109310446772,0.33305458168157936
No hierarchy,3,563,0.6422251594748293,0.8334344687144396,0.8064385060165651,0.9350032507404464,0.08639795307180122,0.27153594423551886
Raw TabM,3,563,0.5456234635253097,0.7690804660691396,0.7677775944563603,0.8866755761034457,0.13501274548596023,0.41167683624254064
HBAF,4,563,0.5537359835543674,0.8558327651767474,0.7658376014545282,0.9585711189771005,0.087201615078429,0.28725896125702904
TabM calibrated,4,563,0.5053807036050233,0.9111764792360741,0.7286848347871566,0.9618579787618291,0.07626542522639344,0.3406462778929394
GaussianNB calibrated,4,563,0.6112134485714678,0.5885124958366023,0.8002887312324698,0.8963284692624431,0.10068855238540686,0.3122766994424193
Global learned fusion,4,563,0.6080004151685391,0.8570227378767553,0.7984196555342922,0.9541103806978256,0.0740890261355548,0.2454886740867035
Equal fusion,4,563,0.5509004611952849,0.8651682383298798,0.7640812776723593,0.9589142526908907,0.07885619469795072,0.2528121252368947
MAP gate,4,563,0.5509004611952849,0.8349183174918496,0.7640812776723593,0.9499385971249007,0.09798427705920973,0.3451171204263483
No hierarchy,4,563,0.627632909379761,0.8581917847575016,0.809737780837349,0.9599436538322618,0.08479576288775138,0.2832100400148714
Raw TabM,4,563,0.7482967020175011,0.9082385012159332,0.867930119143157,0.9633208119627249,0.09639811792448144,0.3216777220274201
HBAF,5,563,0.5230256886284559,0.8180111275635034,0.7612383375742153,0.9444123383659611,0.08016781139174288,0.24579939558533137
TabM calibrated,5,563,0.5965958399179473,0.8597957996563546,0.7973001696069544,0.9329263887885574,0.07891152071410105,0.29858924262070485
GaussianNB calibrated,5,563,0.28289724084787565,0.5802871761882716,0.6385950125690317,0.8939265332659105,0.13042164964142405,0.401445254277349
Global learned fusion,5,563,0.5102809948702123,0.814959613849497,0.738315567079612,0.9455139781839197,0.07937888426698644,0.2466567710302756
Equal fusion,5,563,0.5230256886284559,0.8181453184373768,0.7612383375742153,0.9448096510871922,0.07919052433187862,0.24510492412695462
MAP gate,5,563,0.48797147660958806,0.8104627764989379,0.7439814502149884,0.9350032507404464,0.0854589488732466,0.2657333755478957
No hierarchy,5,563,0.5989001632249207,0.6979942097527854,0.7947162556351101,0.9089431481615257,0.12103916161135145,0.36640929149533596
Raw TabM,5,563,0.5699184004178423,0.8485706911258116,0.7668558282208588,0.9378927978039442,0.10463831252685786,0.332745468552343
