Model,Cohort,Split,repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups
HBAF,Current nested-threshold,Development OOF,1,563,0.7806402608452518,0.9393257837814794,0.8894674843872705,0.9834934623997689,0.8695652173913043,0.7874015748031497,0.9655963302752294,0.034403669724770644,0.2125984251968504,0.8764989525391895,0.04649108207900568,0.15703065386688553,0.04309809623861462,-0.842428100305992,1.19556094100717,0.0,0.16004683812267667,0.4711867860152936,0.41263674976072384,3
TabM calibrated,Current nested-threshold,Development OOF,1,563,0.5752635526410408,0.9025635585620011,0.7826556065885335,0.9683955789929929,0.7525773195876289,0.5748031496062992,0.944954128440367,0.05504587155963303,0.4251968503937008,0.7598786390233331,0.0691451332005074,0.2821777681792529,0.06245170538425876,-0.9829051548046522,0.4791712489285897,0.0,0.23452815253614523,0.9851432010295563,0.45522929717906985,3
GaussianNB calibrated,Current nested-threshold,Development OOF,1,563,0.5296285582850708,0.7777992312046711,0.7361329922695985,0.9596456692913385,0.8548387096774194,0.41732283464566927,0.9793577981651376,0.020642201834862386,0.5826771653543307,0.6983403164054034,0.05952133970950149,0.19994548257706712,0.05260579869807865,-0.12807946367777312,0.9197242219455919,0.0,0.5806013529392592,1.5929069370950852,0.08015649104026092,3
Global learned fusion,Current nested-threshold,Development OOF,1,563,0.5994950407604325,0.8923526649600282,0.7916432196215013,0.9718630354691902,0.8,0.5669291338582677,0.9587155963302753,0.04128440366972477,0.4330708661417323,0.7628223650942715,0.060015723957125545,0.19267762785040127,0.048474708807298525,-0.7020618487015682,0.9511382085249115,0.0,0.2345255530288548,0.7139957614645753,0.4714045207910317,3
Equal fusion,Current nested-threshold,Development OOF,1,563,0.7041601741262655,0.9433011636898647,0.8451788705282368,0.9849743552698115,0.8829787234042553,0.6535433070866141,0.9747706422018348,0.02522935779816514,0.3464566929133858,0.8141569746442245,0.04372505069686233,0.1492504217422213,0.031142040992955356,-0.5534879457031382,1.3982258849526972,0.0,0.18572102682891214,0.5558069705128258,0.2477411176524022,3
MAP gate,Current nested-threshold,Development OOF,1,563,0.31445837658171305,0.908982493899394,0.6321720108057317,0.9765766091165211,0.38666666666666666,0.6850393700787402,0.6834862385321101,0.3165137614678899,0.31496062992125984,0.6842628043054251,0.06677351522465298,0.2728328895841658,0.07477009583869823,-1.3800909639942138,0.6285199818627571,0.2182178902359924,0.23451567638348297,0.9540015149624983,0.20865097848378383,3
No hierarchy,Current nested-threshold,Development OOF,1,563,0.7842364173361928,0.9084232462874459,0.8920273972602739,0.9730369139637361,0.8455284552845529,0.8188976377952756,0.9564220183486238,0.04357798165137615,0.18110236220472442,0.8876598280719497,0.052055123749163275,0.18140162987903607,0.031100211722908222,-0.40243736965286436,1.1070268294809484,0.0,0.2038634051728579,0.6730363193091569,0.418327243074017,3
Raw TabM,Current nested-threshold,Development OOF,1,563,0.5232777894766962,0.9097401518458841,0.7615981787137165,0.9674384165282092,0.6370967741935484,0.6220472440944882,0.8967889908256881,0.10321100917431193,0.3779527559055118,0.7594181174600881,0.08949254210989449,0.3083664611110642,0.10685098515557276,-1.809687594761616,0.7653147561617819,0.0,0.38812067266055095,1.2060866090799691,0.4714045207910317,3
HBAF,Current nested-threshold,Development OOF,2,563,0.6512242078529454,0.8147055223509849,0.810837630879825,0.9397890630643647,0.6084656084656085,0.905511811023622,0.8302752293577982,0.16972477064220184,0.09448818897637795,0.8678935201907101,0.08957144432780009,0.267861556418396,0.06912991896054918,-0.13601939371188954,0.8872699381287356,-0.12803687993289598,0.4902196763005382,1.303992175421311,0.5042993649181553,3
TabM calibrated,Current nested-threshold,Development OOF,2,563,0.5018038389941047,0.81207452718836,0.7463051845237356,0.9287004262081918,0.5555555555555556,0.7086614173228346,0.8348623853211009,0.1651376146788991,0.29133858267716534,0.7717619013219678,0.11618683928924664,0.44738329252563697,0.1071643316068738,-0.27083033400395107,0.33161733613292316,0.0,0.6025735220804397,2.147080644098826,0.22512721116865683,3
GaussianNB calibrated,Current nested-threshold,Development OOF,2,563,0.6492523742253893,0.687800974420536,0.8237135998330027,0.9255399841074912,0.6950354609929078,0.7716535433070866,0.9013761467889908,0.09862385321100918,0.2283464566929134,0.8365148450480386,0.09384090141863485,0.2926337096306291,0.06768669033977037,-0.058075295056493434,0.9503458645592182,-0.14907119849998599,0.7693789731595885,2.235905793695585,0.18353327641584447,3
Global learned fusion,Current nested-threshold,Development OOF,2,563,0.5992798177053825,0.8363949364776591,0.7815691923557092,0.9392111536516651,0.5656565656565656,0.8818897637795275,0.8027522935779816,0.19724770642201836,0.11811023622047244,0.8423210286787546,0.08578926889167285,0.27083990993272045,0.06637724928076631,-0.20486536757811755,0.8768754491348444,0.0,0.6025737503752596,2.1470602606609193,0.0,3
Equal fusion,Current nested-threshold,Development OOF,2,563,0.626708327798015,0.8056556965935903,0.8004866754866755,0.936231308242433,0.6,0.8740157480314961,0.8302752293577982,0.16972477064220184,0.12598425196850394,0.8521454886946471,0.0942367156822458,0.2797562207321017,0.06441993434622899,-0.09056077305116582,0.8416833043291394,-0.12803687993289598,0.653849435170496,1.7801758416592595,0.5042993649181553,3
MAP gate,Current nested-threshold,Development OOF,2,563,0.5649016140700067,0.814755065624331,0.7737574744422298,0.9398071227335115,0.5771428571428572,0.7952755905511811,0.8302752293577982,0.16972477064220184,0.2047244094488189,0.8127754099544897,0.08958646361729374,0.2681194437569401,0.06937190149833637,-0.13912701687068318,0.8890710224589379,-0.12803687993289598,0.4907349440626181,1.3069880867705552,0.06035716402834569,3
