Model,Policy,Split,Checkpoint,Coverage,n,Seeds,Brier risk,NLL risk,Error risk
HBAF,Bayesian uncertainty,Development OOF,1.0,0.5,282,5,0.017466994034027003,0.0642039688923554,0.0276595744680851
HBAF,Bayesian uncertainty,Development OOF,1.0,0.75,423,5,0.03177597739224857,0.11709917589230008,0.05200945626477541
HBAF,Bayesian uncertainty,Development OOF,1.0,0.9,507,5,0.056053002390076136,0.1873253639381312,0.0942800788954635
HBAF,Bayesian uncertainty,Development OOF,1.0,1.0,563,5,0.07727092121067516,0.24196474857864964,0.14209591474245115
HBAF,Parent entropy,Development OOF,1.0,0.5,282,5,0.01076648178146149,0.047645203826363905,0.020567375886524825
HBAF,Parent entropy,Development OOF,1.0,0.75,423,5,0.03584596230334573,0.12851401121373368,0.06572104018912531
HBAF,Parent entropy,Development OOF,1.0,0.9,507,5,0.05821881447488222,0.19201570674800164,0.09664694280078896
HBAF,Parent entropy,Development OOF,1.0,1.0,563,5,0.07727092121067519,0.24196474857864958,0.14209591474245115
TabM calibrated,Parent entropy,Development OOF,1.0,0.5,282,5,0.013876644044974771,0.07736301387197322,0.018439716312056736
TabM calibrated,Parent entropy,Development OOF,1.0,0.75,423,5,0.0420600370861039,0.22133650855555503,0.0557919621749409
TabM calibrated,Parent entropy,Development OOF,1.0,0.9,507,5,0.07072416205141838,0.30146870758119665,0.126232741617357
TabM calibrated,Parent entropy,Development OOF,1.0,1.0,563,5,0.08773047574845268,0.33887263174926263,0.1769094138543517
HBAF,Random reference,Development OOF,1.0,0.5,282,5,0.07727092121067518,0.24196474857864958,0.14209591474245115
HBAF,Random reference,Development OOF,1.0,0.75,423,5,0.07727092121067518,0.24196474857864958,0.14209591474245115
HBAF,Random reference,Development OOF,1.0,0.9,507,5,0.07727092121067518,0.24196474857864958,0.14209591474245115
HBAF,Random reference,Development OOF,1.0,1.0,563,5,0.07727092121067518,0.24196474857864958,0.14209591474245115
