Comparator,Metric,Hypothesis,Effect,CI low,CI high,NI lower bound,p raw,Favorable seeds,Replicates,Margin,p Holm,Passed
TabM calibrated,MCC,Predictive NI,0.09459718243015422,-0.00164469801505698,0.2531221852384491,-0.02759396215044608,0.072265625,4,5000,0.01,0.9501953125,False
TabM calibrated,PR-AUC,Predictive NI,0.0014413445862436537,-0.08348198389676893,0.09576296556294898,-0.17391111961220362,0.48095703125,3,5000,0.005,1.0,False
TabM calibrated,Macro-F1,Predictive NI,0.04831153671383237,-0.004612444920766986,0.1279563724328428,-0.014665686852121548,0.0712890625,4,5000,0.01,0.9501953125,False
TabM calibrated,Brier,Probability superiority,0.01045955453777749,-0.00876325325128928,0.03596500559219439,-0.015470886508824472,0.2412109375,3,5000,0.002,1.0,False
TabM calibrated,NLL,Probability superiority,0.09690788317061307,-0.006508722756014726,0.2569960229009285,-0.025911470714147664,0.0908203125,5,5000,0.005,0.9990234375,False
MAP gate,MCC,Predictive NI,0.14523250797544848,0.012595399077862455,0.24601204399697457,-0.041194816538131104,0.033203125,5,5000,0.01,0.5888671875,False
MAP gate,PR-AUC,Predictive NI,0.02522331482258746,0.002215421379963951,0.0919630504449351,-0.001302805624981775,0.19140625,4,5000,0.005,1.0,True
MAP gate,Macro-F1,Predictive NI,0.07534199808111253,0.013055758151777742,0.1325003265081986,-0.01829801405870312,0.03515625,5,5000,0.01,0.5888671875,False
MAP gate,Brier,Probability superiority,0.011749938365098979,0.00024997758890601393,0.026157107462728275,-0.0005713246339761507,0.06787109375,5,5000,0.002,0.9501953125,False
MAP gate,NLL,Probability superiority,0.055006733620736284,0.004722087842261146,0.11070964405124999,-0.0010840616572738585,0.05029296875,5,5000,0.005,0.75439453125,False
No hierarchy,MCC,Predictive NI,-0.0333255675386475,-0.07525952766197999,0.007455573664985359,-0.09597350557500856,0.8984375,1,5000,0.01,1.0,False
No hierarchy,PR-AUC,Predictive NI,0.030012357332218565,-0.00932153939070086,0.08926935567347885,-0.05750192840520358,0.00830078125,3,5000,0.005,0.166015625,False
No hierarchy,Macro-F1,Predictive NI,-0.013590089779008685,-0.03972975153323713,0.010946907709684976,-0.05355469161417647,0.8515625,1,5000,0.01,1.0,False
No hierarchy,Brier,Probability superiority,0.00926129044571207,0.0006087465601726451,0.022417205212963774,-0.0009566237712567504,0.03271484375,3,5000,0.002,0.5888671875,False
No hierarchy,NLL,Probability superiority,0.03560337422857889,0.007302276362405177,0.07620897555261023,0.0010797911710398332,0.01708984375,4,5000,0.005,0.32470703125,False
Global learned fusion,MCC,Predictive NI,0.07142199624047377,-0.02107029379251637,0.20552987577615153,-0.04545099064482394,0.142578125,4,5000,0.01,1.0,False
Global learned fusion,PR-AUC,Predictive NI,0.015288513026493367,-0.012674854235656051,0.058954618968621905,-0.05001316319975332,0.10498046875,3,5000,0.005,1.0,False
Global learned fusion,Macro-F1,Predictive NI,0.039429217882304225,-0.015737772575351923,0.11592947027236328,-0.02681791701209427,0.1533203125,4,5000,0.01,1.0,False
Global learned fusion,Brier,Probability superiority,0.0015068575259431644,-0.003620371546312504,0.008674195979544313,-0.005014280057586824,0.3828125,2,5000,0.002,1.0,False
Global learned fusion,NLL,Probability superiority,0.011109192947632435,-0.005648166186963236,0.0354446462811548,-0.01053124270257347,0.12646484375,4,5000,0.005,1.0,False
