Model,Cohort,Split,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups,Seeds,MCC seed SD,PR-AUC seed SD,Brier seed SD
HBAF,Current nested-threshold,Development OOF,563,0.6382902484738012,0.855231463048507,0.8125745914176384,0.954793036191577,0.6648033816856722,0.8031496062992126,0.8738532110091743,0.1261467889908257,0.1968503937007874,0.8385014086541934,0.07727092121067518,0.24196474857864958,0.058454623270138326,-0.41057244823072514,1.0136501480479172,-0.05121475197315839,0.5351408668197993,1.452308121912371,0.31430128587445794,3.0,5,0.10350061465128534,0.05036917461624053,0.017590154160459788
TabM calibrated,Current nested-threshold,Development OOF,563,0.543693066043647,0.8537901184622632,0.7642630547038062,0.9375785595607888,0.6096266290310602,0.7149606299212599,0.8545871559633028,0.14541284403669724,0.2850393700787402,0.7847738929422813,0.08773047574845268,0.33887263174926263,0.07362560330035409,-0.43943325674511335,0.5241386436584432,0.0,0.6202429224076883,2.4243960179466746,0.3440165637105972,3.0,5,0.041941002429065934,0.05570343063225678,0.019188741376667755
GaussianNB calibrated,Current nested-threshold,Development OOF,563,0.5444487992310385,0.6764145227058734,0.7644887871474211,0.9232373762912663,0.6701353005657757,0.6283464566929133,0.9045871559633027,0.09541284403669725,0.3716535433070866,0.766466806328108,0.094422377575113,0.2946941243280925,0.08175318245435592,-0.40203736761271847,0.8418397926396921,-0.0596284793999944,0.6805345524158992,1.8998421879627911,0.11704723114808413,3.0,5,0.15415410657772066,0.09007424218519025,0.02549333870241257
Global learned fusion,Current nested-threshold,Development OOF,563,0.5668682522333274,0.8399429500220135,0.7731453735353343,0.943285415011197,0.6161362756484708,0.7511811023622047,0.85,0.15,0.24881889763779527,0.8005905511811024,0.07877777873661836,0.25307394152628204,0.055103482465053144,-0.24636797012583278,0.9806743437846904,0.0,0.5922808204174499,1.7603366009079597,0.15044247343648848,3.0,5,0.048650511454815644,0.03658149519516144,0.012984321047474975
Equal fusion,Current nested-threshold,Development OOF,563,0.6175239506472014,0.8609431252472521,0.8012954128107681,0.9556599003106264,0.6651804589432941,0.7700787401574802,0.8752293577981651,0.12477064220183487,0.22992125984251968,0.8226540489778227,0.07368243411234332,0.23134595587234452,0.04998396599083278,-0.2960573108889941,1.1374830795210866,-0.05121475197315839,0.591207561764307,1.6414147813816886,0.2813221594527936,3.0,5,0.07940881433255169,0.05436301142888571,0.018565191672335894
MAP gate,Current nested-threshold,Development OOF,563,0.4930577404983527,0.8300081482259195,0.737232593336526,0.9417069999277613,0.5473084352876255,0.7181102362204724,0.8165137614678899,0.1834862385321101,0.28188976377952757,0.7673119988441812,0.08902085957577416,0.29697148219938585,0.06830776331544894,-0.5272086145187651,0.763271966708952,0.01803620206061928,0.5690712279286763,1.7042305752822156,0.21926185684699112,3.0,5,0.10409949687929326,0.04817981026286016,0.014605994515892127
No hierarchy,Current nested-threshold,Development OOF,563,0.6716158160124487,0.8252191057162884,0.8261646811966472,0.9451744564039586,0.6651935228423207,0.8614173228346458,0.8660550458715596,0.13394495412844037,0.13858267716535436,0.8637361843531026,0.08653221165638725,0.27756812280722853,0.07550121561795056,-0.49327604575309414,0.8468287082150703,-0.014547859349066158,0.554139958299903,1.6135183340362467,0.2860337378123866,3.0,5,0.07397536910339715,0.07789707500669635,0.024422434240310688
Raw TabM,Current nested-threshold,Development OOF,563,0.6091167230232392,0.8486549050677965,0.7986012376561579,0.933106985480026,0.6388614963628888,0.7826771653543307,0.8674311926605505,0.13256880733944953,0.21732283464566932,0.8250541790074406,0.11133256967577954,0.3638913898318594,0.11823723779115755,-1.351339742417652,0.66516067998101,0.05256618977122039,0.554036201333305,1.6009810145068173,0.41238265586765843,3.0,5,0.09319705873872261,0.06183758246502821,0.020598395515188883
Dummy — Empirical Prior,Notebook03 nested-threshold,Development OOF,563,0.0,0.19777587667983024,0.4364364364364365,0.41141732283464566,,0.0,1.0,0.0,1.0,0.5,0.17833379020860185,0.5439401233125938,0.0047356740057531875,-4.502002705865128,-2.6667473317083483,0.0,0.5394894778995364,1.370558859226777,0.0,3.0,5,0.0,0.0,1.3877787807814457e-17
Elastic-Net Logistic Regression,Notebook03 nested-threshold,Development OOF,563,0.5489527528350168,0.7311042697210713,0.7703722672957267,0.8872498735823161,0.6073988044934411,0.7181102362204724,0.861467889908257,0.1385321100917431,0.28188976377952757,0.7897890630643646,0.10629720016607429,0.34277208030393147,0.06748853518657325,0.04621543667870213,0.780304271707973,0.2564888074950929,0.4789110420822298,1.4358395934782875,0.30833632254040233,3.0,5,0.10055320590414399,0.11018848732950604,0.023776302912390575
Random Forest,Notebook03 nested-threshold,Development OOF,563,0.3546424015964867,0.37734847177198,0.6050302623074,0.7448981434660117,0.3836376504370047,0.8299212598425196,0.5756880733944955,0.42431192660550454,0.1700787401574803,0.7028046666185076,0.22289180758715615,1.1031239016564698,0.225618014685824,-1.120522196248043,0.20300868637209107,0.0,0.9276535445718253,5.9824374791630985,0.29193051700174194,3.0,5,0.09880495554525774,0.05681027197890044,0.043709452500430304
Extra Trees,Notebook03 nested-threshold,Development OOF,563,0.4481094385010257,0.5345931943703083,0.6838635749687103,0.8084862385321101,0.45819693019127394,0.8283464566929133,0.6889908256880733,0.31100917431192665,0.17165354330708663,0.7586686411904934,0.1767905957904524,0.5627821938666759,0.18588860355664724,-0.6606004467367643,0.4164987483266751,0.0,0.9221821202167536,4.267551118604075,0.19771451152038338,3.0,5,0.1422569495545307,0.16987323747858835,0.044762734533715896
HistGradientBoosting,Notebook03 nested-threshold,Development OOF,563,0.3075009179594161,0.4575200641806013,0.5832149600079944,0.7275464133497074,0.3498834612122862,0.8251968503937007,0.5408256880733945,0.4591743119266055,0.17480314960629922,0.6830112692335477,0.21627665152694467,0.9101506011544558,0.2070030368801989,-0.9203835106741656,0.43500169941379807,-0.027681826617913317,0.7993465788167952,4.389644678308265,0.21814466146618744,3.0,5,0.30075192679566276,0.1689222287751203,0.039066122250399536
XGBoost,Notebook03 nested-threshold,Development OOF,563,0.3592577306978409,0.48048856883328617,0.6486374794139661,0.7464711406487032,0.4262764663973721,0.6929133858267716,0.7096330275229358,0.2903669724770642,0.30708661417322836,0.7012732066748537,0.19052818896766752,0.638288969970193,0.16130495064527448,-0.815156452226329,0.6169775898010765,0.0,0.6661317093293826,2.3743382917365925,0.07209008804084699,3.0,5,0.15996644043438876,0.14051890419589685,0.050882806725259584
LightGBM,Notebook03 nested-threshold,Development OOF,563,0.2845105871795765,0.48362653411725187,0.5831906716978965,0.7656468973488406,0.370287059447398,0.7464566929133858,0.5862385321100917,0.4137614678899083,0.25354330708661416,0.6663476125117388,0.20483747404277186,0.7972511721481181,0.1758234068489543,-0.8052726529892305,0.4781431642353417,0.0,0.7397318218894108,3.570318401823909,0.10299210121297178,3.0,5,0.1976574108953088,0.16530957031774493,0.0352803226918748
CatBoost,Notebook03 nested-threshold,Development OOF,563,0.22442392551244456,0.5001322175798337,0.5724250100775705,0.733038358737268,0.35029258164811183,0.6,0.6495412844036698,0.35045871559633024,0.4,0.6247706422018349,0.1959829232507527,0.712631559673787,0.1752280679592501,-0.7014972970475495,0.3513691092439345,0.0,0.9036646866753415,3.696161875265686,0.2507970070894576,3.0,5,0.16395385621143074,0.18791995310813808,0.07370456088974307
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,563,0.6748442976557902,0.6764145227058734,0.8221516702809961,0.9232373762912663,0.6308824367942318,0.9196850393700787,0.8362385321100918,0.16376146788990825,0.08031496062992126,0.8779617857400852,0.094422377575113,0.2946941243280925,0.08175318245435592,-0.40203736761271847,0.8418397926396921,-0.0298142396999972,0.6805345524158992,1.8998421879627911,0.4688341669596621,3.0,5,0.10875324726286607,0.09007424218519025,0.02549333870241257
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,563,0.6021923444262971,0.6384328675660823,0.7994756419885654,0.7920988947482482,0.7303860744601228,0.647244094488189,0.9284403669724771,0.07155963302752294,0.352755905511811,0.787842230730333,0.13211175179234608,0.6283579887485559,0.1445243618005418,-0.47359599897153126,0.39868480079848145,0.0,0.9847471458604466,7.887995048120388,0.17625880459891152,3.0,5,0.09090005800966267,0.06517189943012335,0.014418524781507713
Static TAN Bayesian Network,Notebook03 nested-threshold,Development OOF,563,0.08821975077078356,0.29532363863897443,0.5132321445975074,0.5305894676009536,0.2679228357448735,0.49606299212598426,0.6100917431192661,0.38990825688073394,0.5039370078740157,0.5530773676226252,0.1985839338500634,0.7228100519626347,0.21067065586209238,-1.1792828922739496,0.07695812487870651,-0.12989558204212898,0.6444371445660956,3.0022557481763283,0.1040220422130155,3.0,5,0.27430074871799065,0.07308296626644714,0.018271467330355874
Dynamic Bayesian Network,Notebook03 nested-threshold,Development OOF,563,0.00745480196680105,0.28274920013429716,0.49373983492949425,0.5009084013580871,0.2315695732669905,0.3559055118110236,0.6513761467889909,0.3486238532110092,0.6440944881889764,0.5036408293000072,0.20237329239228616,0.6418677777638546,0.1872674082905472,-2.602328662442692,-0.89552246394209,-0.15100984989000665,0.6820119842321491,2.1214893000069033,0.17711113167607595,3.0,5,0.20497490731252926,0.07533059664121089,0.015098307936416777
Tabular ResNet,Notebook03 nested-threshold,Development OOF,563,0.47846158181343845,0.5999368441512463,0.7284034765178913,0.7983854655782705,0.5767034683046817,0.6708661417322835,0.8206422018348624,0.1793577981651376,0.3291338582677165,0.745754171783573,0.1570668174981063,0.6776837787894119,0.13881415990241622,-0.5197832611585509,0.3789663457252221,0.18751088333039956,0.6473812991664374,2.880612135862615,0.3392066990955913,3.0,5,0.20461057401396632,0.21486249593533396,0.06709080533248626
TabM,Notebook03 nested-threshold,Development OOF,563,0.6703897822923427,0.8537901184622634,0.8315893168447417,0.9375785595607888,0.7187111040963778,0.7826771653543307,0.9068807339449542,0.09311926605504586,0.21732283464566926,0.8447789496496425,0.08773047574838634,0.33887263174926263,0.07362566224990652,-0.43943325674511335,0.5241386436584432,0.08332432383729822,0.6202429224076883,2.4243960179466746,0.35623132696996535,3.0,5,0.08720762027719199,0.05570343063225689,0.019188741376658255
FT-Transformer,Notebook03 nested-threshold,Development OOF,563,0.6721026715796311,0.7690959296300891,0.8236435875597097,0.9001805966914687,0.6772530959549313,0.8582677165354331,0.8600917431192661,0.13990825688073394,0.14173228346456695,0.8591797298273496,0.10854036864654697,0.4128641832443164,0.09641083392130674,-0.3562490912319921,0.5338561360959512,0.0,0.8930203954723245,5.988240914110573,0.260917807497373,3.0,5,0.1175378012561829,0.07075513876663647,0.04551154028821267
