model,method,worst_group_nll,macro_group_nll,trajectory_brier,terminal_mcc,terminal_pr_auc,threshold
Dummy — Empirical Prior,checkpoint Platt on nested OOF,2.120900632803083,0.7361626275099163,0.16590606813309772,0.7414573054813338,0.6666982804436301,0.26952617441065485
Elastic-Net Logistic Regression,checkpoint Platt on nested OOF,1.3297864583522958,0.41988086883898035,0.11335282406667335,0.6629201548881624,0.8323769446423194,0.6052671439916573
Random Forest,checkpoint Platt on nested OOF,1.728434067172237,0.5291701737739377,0.13907981566078026,0.4528191615358924,0.5978179085693837,0.5045327695270675
Extra Trees,checkpoint Platt on nested OOF,2.623200889854029,0.5356164729588193,0.11164115406748511,0.5745509621376625,0.7184128500845984,0.39724974754891995
HistGradientBoosting,checkpoint Platt on nested OOF,1.3084177893697218,0.4009093609066394,0.12408468225610954,0.5069632970723119,0.6791668070450457,0.5817343769248984
XGBoost,checkpoint Platt on nested OOF,1.2879143068795205,0.48059088787452386,0.14499737830816734,0.47258343021652793,0.4961599696009972,0.17885173719341352
LightGBM,checkpoint Platt on nested OOF,1.1506133380325105,0.48878745163908516,0.14801815885310102,0.46833385946922435,0.41720975783572645,0.30804559236779044
CatBoost,checkpoint Platt on nested OOF,3.393451330970074,0.6324615422140419,0.1330944932083233,0.5069632970723119,0.6354820118618858,0.42045395021939136
Gaussian Naive Bayes,checkpoint Platt on nested OOF,3.1760763795465543,0.612824770310925,0.08748432205957994,0.7963781503901842,0.7929410252489949,0.20738528961388403
Quantile Naive Bayes,checkpoint Platt on nested OOF,2.449944707419594,0.5098969991476837,0.09974174788779788,0.6738424160850135,0.7283260343664322,0.4422536951886167
Static TAN Bayesian Network,checkpoint Platt on nested OOF,1.4615539654080436,0.6580034490815702,0.1745143216646713,0.4017480164566482,0.4164829362958996,0.23640683313767788
Dynamic Bayesian Network,checkpoint Platt on nested OOF,1.4504889690817588,0.6257795663781276,0.1687931373960808,0.42105606488083136,0.4497618237106693,0.2707985115827368
Tabular ResNet,checkpoint Platt on nested OOF,1.5212783088513289,0.4764670727436657,0.12106132073656177,0.6366802804014524,0.7797570691280818,0.5167063087410297
TabM,checkpoint Platt on nested OOF,1.5716156074252503,0.38243645636722917,0.09167758861588172,0.7270519976569266,0.8740912634651073,0.6710057782873976
FT-Transformer,checkpoint Platt on nested OOF,3.658913114136427,0.544715493797653,0.07581227960055018,0.773216652218585,0.8676571548108319,0.4903492579215454
Causal TCN,checkpoint Platt on nested OOF,2.6580879036750438,0.6098524283638431,0.12461075507261304,0.5606717192640867,0.6759524072740378,0.2032907767999942
InceptionTime,checkpoint Platt on nested OOF,2.569207873212464,0.59853149582832,0.12575266045390696,0.6982942996136542,0.7487722493654919,0.3881379894113597
PatchTST-style,checkpoint Platt on nested OOF,2.0981327768898343,0.5057474461496176,0.11701100701962008,0.705602785667219,0.763427329358547,0.34625654607547823
