model,n,repeats,mcc_mean,mcc_sd,pr_auc_mean,pr_auc_sd,macro_f1_mean,auroc_mean,balanced_accuracy_mean,precision_mean,recall_mean,specificity_mean,fpr_mean,fnr_mean,brier_mean,brier_sd,nll_mean,ece_mean,calibration_slope_mean,calibration_intercept_mean,worst_group_mcc_mean,worst_group_brier_mean,group_mcc_sd_mean,worst_group_nll_mean,macro_group_nll_mean,independent_experiments
Dummy — Empirical Prior,563,5,0.0,0.0,0.19777587667983024,0.0,0.4364364364364365,0.41141732283464566,0.5,0.0,0.0,1.0,0.0,1.0,0.17833379020860185,1.3877787807814457e-17,0.5439401233125938,0.0047356740057531875,-2.6667473317083403,-4.502002705865118,0.0,0.5394894778995364,0.0,1.370558859226777,0.6491023895381833,11
Elastic-Net Logistic Regression,563,5,0.5489527528350168,0.10055320590414399,0.7311042697210713,0.11018848732950604,0.7703722672957267,0.8872498735823161,0.7897890630643646,0.6073988044934411,0.7181102362204724,0.861467889908257,0.1385321100917431,0.28188976377952757,0.1417607797018762,0.013684233804591862,0.34277208030393147,0.06748853518657325,0.780304271707973,0.04621543667870219,0.0,0.4789110420822298,0.31565269449866695,1.7619364284791963,0.4820755269912983,11
Random Forest,563,5,0.3546424015964867,0.09880495554525774,0.37734847177198,0.05681027197890044,0.6050302623074,0.7448981434660117,0.7028046666185076,0.3836376504370047,0.8299212598425196,0.5756880733944955,0.42431192660550454,0.1700787401574803,0.22499858185714583,0.04742333672363329,1.1031239016564698,0.225618014685824,0.20300868637209107,-1.120522196248043,0.0,0.9276535445718253,0.1855470269435729,5.775407380673444,1.0298836838731078,11
Extra Trees,563,5,0.4481094385010257,0.1422569495545307,0.5345931943703083,0.16987323747858835,0.6838635749687103,0.8084862385321101,0.7586686411904934,0.45819693019127394,0.8283464566929133,0.6889908256880733,0.31100917431192665,0.17165354330708663,0.1788286924368076,0.041454175933960426,0.5627821938666759,0.18588860355664724,0.4164987483266751,-0.6606004467367643,0.0,0.9221821202167536,0.13422459877765194,4.286773302552814,0.8467046928928408,11
HistGradientBoosting,563,5,0.3075009179594161,0.30075192679566276,0.4575200641806013,0.1689222287751203,0.5832149600079944,0.7275464133497074,0.6830112692335477,0.3498834612122862,0.8251968503937007,0.5408256880733945,0.4591743119266055,0.1748031496062992,0.21814567235617105,0.03860178175796247,0.9101506011544556,0.2070030368801989,0.43500169941379807,-0.9203835106741657,-0.027681826617913317,0.7993465788167952,0.1300584843818437,4.5588631091835,0.8617844287127774,11
XGBoost,563,5,0.3592577306978409,0.15996644043438876,0.48048856883328617,0.14051890419589685,0.6486374794139661,0.7464711406487032,0.7012732066748537,0.4262764663973721,0.6929133858267716,0.7096330275229358,0.2903669724770642,0.30708661417322836,0.1898387662367089,0.04858058931099836,0.638288969970193,0.16130495064527448,0.6169775898010765,-0.815156452226329,0.0,0.6661317093293826,0.04396318291725777,2.2606172887401463,0.5841487939433425,11
LightGBM,563,5,0.2845105871795765,0.1976574108953088,0.48362653411725187,0.16530957031774493,0.5831906716978965,0.7656468973488406,0.6663476125117388,0.370287059447398,0.7464566929133858,0.5862385321100917,0.4137614678899083,0.25354330708661416,0.2047622895289248,0.03551667239030313,0.797251172148118,0.1758234068489543,0.47814316423534164,-0.8052726529892305,0.0,0.7397318218894108,0.06280836530665732,3.3245939278323307,0.710984836818235,11
CatBoost,563,5,0.22442392551244456,0.16395385621143074,0.5001322175798337,0.18791995310813808,0.5724250100775705,0.733038358737268,0.6247706422018349,0.35029258164811183,0.6,0.6495412844036698,0.35045871559633024,0.4,0.19485490642725292,0.07083153306438068,0.712631559673787,0.1752280679592501,0.35136910924393455,-0.7014972970475495,0.0,0.9036646866753415,0.17182869599400266,3.870653040409347,0.8428666600699202,11
Gaussian Naive Bayes,563,5,0.6748442976557902,0.10875324726286607,0.6764145227058734,0.09007424218519025,0.8221516702809961,0.9232373762912663,0.8779617857400852,0.6308824367942318,0.9196850393700787,0.8362385321100918,0.16376146788990825,0.0803149606299213,0.09932626405834952,0.0129334510410059,0.29469412432809255,0.08175318245435592,0.8418397926396921,-0.40203736761271847,-0.0298142396999972,0.6805345524158992,0.28973233221999084,2.9728922159845657,0.5882352748575463,11
Quantile Naive Bayes,563,5,0.6021923444262971,0.09090005800966267,0.6384328675660823,0.06517189943012335,0.7994756419885654,0.7920988947482482,0.787842230730333,0.7303860744601228,0.647244094488189,0.9284403669724771,0.07155963302752293,0.352755905511811,0.14278168861830937,0.0208232279732976,0.6283579887485559,0.1445243618005418,0.39868480079848145,-0.47359599897153126,0.0,0.9847471458604466,0.10748909146800512,5.586318535643096,0.9781233031845398,11
