model,nested_train_time_s,nested_outer_fit_s_mean,nested_outer_fit_s_sd,final_seed_count,train_time_s_total,train_time_s_mean,train_time_s_sd,latency_ms_per_path,throughput_paths_s,peak_process_rss_mb,model_size_mb,parameter_count
Dummy — Empirical Prior,31.705265705881175,2.1136843803920784,0.016330146226662613,1,3.5619447079952806,3.5619447079952806,0.0,0.016735591067946403,59752.89405315927,545.921875,0.006567955017089844,4.0
Elastic-Net Logistic Regression,4.019635955977719,0.26797573039851463,0.10535536890367402,5,2.9475977490074,0.58951954980148,0.005505476462247793,0.08077520472506465,12380.036713044674,570.34375,0.010280609130859375,660.0
Random Forest,9.596503208798822,0.6397668805865881,0.1451751083673487,5,4.165471124986652,0.8330942249973304,0.013602836941092725,0.20755934685501168,4817.899146206792,640.28125,9.848428726196289,10.0
Extra Trees,5.473535999073647,0.36490239993824314,0.07651947027468603,5,3.013310290989466,0.6026620581978932,0.006847783709606015,0.2582977593564866,3871.5008697379444,662.546875,25.37203311920166,10.0
HistGradientBoosting,8.528070331143681,0.5685380220762454,0.1281605380453454,5,5.687999957881402,1.1375999915762804,0.04589204065300775,0.37088635144755244,2696.2437309894144,656.109375,2.5255937576293945,15.0
XGBoost,0.7287299578310922,0.04858199718873948,0.03222304719263842,5,0.6454628340434283,0.12909256680868567,0.011406405283669438,0.08626603435394303,11592.04787248102,575.828125,0.6368932723999023,
LightGBM,0.6565484149614349,0.043769894330762324,0.039388507872898715,5,0.2022450429503806,0.04044900859007612,0.003682137710862909,0.08310379219499955,12033.14522222454,597.96875,0.2124948501586914,10.0
CatBoost,26.65290616598213,1.7768604110654753,2.392974957150314,5,17.079802624997683,3.4159605249995364,0.09189552076181083,0.14031640129840492,7126.750620359359,669.71875,2.849790573120117,
Gaussian Naive Bayes,0.03689858299912885,0.0024599055332752565,0.000246703809192344,1,0.008405999979004264,0.008405999979004264,0.0,0.01577655208980872,63385.20573490683,627.921875,0.008770942687988281,530.0
Quantile Naive Bayes,0.4802956680068746,0.03201971120045831,0.00058012516079136,1,0.04701912502059713,0.04701912502059713,0.0,0.022837031812332053,43788.52769561749,633.40625,0.09490108489990234,
Static TAN Bayesian Network,25.69368825183483,1.712912550122322,0.07995705258243355,1,1.739204375015106,1.739204375015106,0.0,0.016018834265867386,62426.515151029445,654.578125,0.035040855407714844,
Dynamic Bayesian Network,0.35742329206550494,0.02382821947103366,0.0005121615383415869,1,0.03763787500793114,0.03763787500793114,0.0,0.01459412928168906,68520.70313332626,644.609375,0.015814781188964844,2.0
Tabular ResNet,2.199535791995004,0.14663571946633358,0.09135360701573988,5,0.6616149579640478,0.13232299159280955,0.004276058842014499,0.10869242739517256,9200.272953370566,671.25,0.8709192276000977,210245.0
TabM,3.450056543224491,0.2300037695482994,0.11991953631716103,5,1.3511764169088565,0.2702352833817713,0.033292324472562924,0.11647372549445607,8585.62732285573,680.875,0.28415775299072266,66960.0
FT-Transformer,216.9083711669664,14.46055807779776,8.046468694668862,5,91.25841724913334,18.25168344982667,1.633540344260439,10.031783350475997,99.68317347608499,5169.21875,0.6593103408813477,148805.0
Causal TCN,95.62319966696668,6.374879977797779,4.6655004421038635,5,89.41820833302336,17.88364166660467,0.28133324689541683,28.603584081588696,34.96065378197382,2892.109375,0.5494775772094727,129605.0
InceptionTime,558.9691254990175,37.264608366601166,30.789959639691013,5,350.56717520800885,70.11343504160178,0.9130804098630387,116.64552526882878,8.572982098501727,2780.53125,2.0294275283813477,516660.0
PatchTST-style,11.627499582013115,0.7751666388008743,0.3685329602557764,5,9.758323290967382,1.9516646581934765,0.1085182312721755,3.1971166408159655,312.78183198995856,2325.34375,2.224724769592285,566645.0
