model,candidate,configuration,selected_outer_folds,fit_budget_median
CatBoost,2,"{""depth"": 7, ""l2_leaf_reg"": 8, ""learning_rate"": 0.02}",9,274.0
Causal TCN,2,"{""blocks"": 3, ""dropout"": 0.2, ""hidden"": 48, ""lr"": 0.0005}",13,2.0
Dummy — Empirical Prior,1,"{""strategy"": ""prior""}",15,
Dynamic Bayesian Network,2,"{""alpha"": 1.0, ""n_bins"": 4}",9,
Elastic-Net Logistic Regression,2,"{""C"": 0.2, ""l1_ratio"": 0.5}",12,
Extra Trees,2,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 600}",9,
FT-Transformer,1,"{""blocks"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}",8,5.0
Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-07}",9,
HistGradientBoosting,2,"{""learning_rate"": 0.03, ""max_iter"": 300, ""max_leaf_nodes"": 31}",9,
InceptionTime,1,"{""blocks"": 2, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}",10,2.0
LightGBM,1,"{""learning_rate"": 0.03, ""max_depth"": 5, ""num_leaves"": 15}",10,29.5
PatchTST-style,2,"{""dropout"": 0.2, ""hidden"": 48, ""layers"": 2, ""lr"": 0.0005}",8,1.0
Quantile Naive Bayes,2,"{""alpha"": 1.0, ""n_bins"": 4}",10,
Random Forest,1,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 400}",8,
Static TAN Bayesian Network,2,"{""alpha"": 1.0, ""n_bins"": 4}",9,
TabM,1,"{""blocks"": 2, ""dropout"": 0.1, ""hidden"": 64, ""k"": 4, ""lr"": 0.001}",10,5.0
Tabular ResNet,1,"{""blocks"": 2, ""dropout"": 0.1, ""hidden"": 64, ""lr"": 0.001}",8,2.0
XGBoost,2,"{""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5}",8,130.5
