model,candidate_count,outer_repeats,outer_folds,inner_folds,actual_split_seeds,stochastic,locked_labels_used
Dummy — Empirical Prior,1,5,3,2,5,False,False
Elastic-Net Logistic Regression,2,5,3,2,5,True,False
Random Forest,2,5,3,2,5,True,False
Extra Trees,2,5,3,2,5,True,False
HistGradientBoosting,2,5,3,2,5,True,False
XGBoost,2,5,3,2,5,True,False
LightGBM,2,5,3,2,5,True,False
CatBoost,2,5,3,2,5,True,False
Gaussian Naive Bayes,2,5,3,2,5,False,False
Quantile Naive Bayes,2,5,3,2,5,False,False
Static TAN Bayesian Network,2,5,3,2,5,False,False
Dynamic Bayesian Network,2,5,3,2,5,False,False
Tabular ResNet,2,5,3,2,5,True,False
TabM,2,5,3,2,5,True,False
FT-Transformer,2,5,3,2,5,True,False
Causal TCN,2,5,3,2,5,True,False
InceptionTime,2,5,3,2,5,True,False
PatchTST-style,2,5,3,2,5,True,False
