variant,n,MCC,MCC SD,PR-AUC,Macro-F1,AUROC,Recall,Specificity,Brier,NLL,ECE,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD
Parent — TabM,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
HBAF − Bayesian,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
Bayesian state only,563,0.5492841262152288,0.230708200404909,0.7118199503003344,0.7578377904177129,0.8941811746008813,0.7228346456692913,0.8389908256880734,0.11263565607826624,0.42825051959746896,0.1361636876655082,-0.05800085317545743,0.7714316638964999,4.404054767157138,0.25503586753894397
HBAF − adaptive gate,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
HBAF — Full,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
Equal fusion control,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669184657875,0.42784053801225463,0.1379284616281047,0.0,0.5531145443402201,2.0442719506359723,0.24824627934173354
Learned fixed fusion,563,0.5864635700556813,0.11213005449319985,0.8396225951568166,0.7656002552675796,0.9255147005706854,0.6740157480314961,0.8944954128440367,0.1180309421060691,0.4019326624813603,0.13590339873191787,0.0,0.5544891328417823,1.8531425313480194,0.24817408353257925
Deterministic slab-only MAP,563,0.5228348317061672,0.3059318999727291,0.7474296437757402,0.7358232429246444,0.8939102795636783,0.6141732283464567,0.9096330275229357,0.14759593071863455,0.5324121140316663,0.15925002140641967,0.0,0.7497402958095915,3.0592446325274176,0.19688228863146112
HBAF − hierarchical pooling,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
HBAF − context transitions,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
Gaussian emission control,563,0.6534391637034982,0.12067788874495151,0.8373433524679343,0.8108576006991541,0.9245864335765368,0.7118110236220472,0.9238532110091743,0.11986669201127183,0.42784043424941975,0.13792847102533798,0.0,0.5531145393080138,2.044270804469406,0.24824627934173354
