feature,n_train,r_squared_from_others,tolerance,variance_inflation_factor,global_condition_number,feature_code
spindle_time__energy,563,0.9999758384086069,2.416159139306817e-05,41388.002293875994,3683.306929560469,F12
machine_time__energy,563,0.9999756292222971,2.437077770289786e-05,41032.74881872534,3683.306929560469,F9
part_count__mean,563,0.9882962639924093,0.01170373600759067,85.44280214039618,3683.306929560469,F6
machine_time__mean,563,0.9882263615424779,0.011773638457522106,84.93551110881157,3683.306929560469,F1
available_duration_s,563,0.9746613980447951,0.025338601955204876,39.46547649976352,3683.306929560469,F4
smapeak__energy,563,0.9566643043098,0.043335695690200016,23.07566508563381,3683.306929560469,F7
smarms__energy,563,0.9456737350670473,0.05432626493295267,18.407302641441674,3683.306929560469,F5
smvrms__energy,563,0.8206630430736219,0.17933695692637808,5.5760955083592885,3683.306929560469,F11
ymapeak__energy,563,0.788935438816545,0.21106456118345496,4.737886807680666,3683.306929560469,F8
zmapeak__energy,563,0.6424051347105731,0.35759486528942686,2.7964607355047706,3683.306929560469,F10
Tool__train_frequency,563,0.555830237258766,0.444169762741234,2.251391436077074,3683.306929560469,F3
z_position__mean,563,0.09920257011885703,0.900797429881143,1.1101275012873277,3683.306929560469,F2
