split,prefix_fraction,numeric_observed_share,categorical_observed_share,categorical_unknown_share
train,0.25,0.20283359236234458,0.20283359236234458,0.0
train,0.5,0.4515430728241563,0.4515430728241563,0.0
train,0.75,0.7005717140319716,0.7005717140319716,0.0
train,1.0,0.9014487122557726,0.9014487122557726,0.0
validation,0.25,0.19295247395833334,0.19295247395833334,0.17719316743989877
validation,0.5,0.4413655598958333,0.4413655598958333,0.17096893150179773
validation,0.75,0.6900634765625,0.6900634765625,0.16926115926646618
validation,1.0,0.8756917317708334,0.8756917317708334,0.17228520979508388
internal_test,0.25,0.20466933139534885,0.20466933139534885,0.25
internal_test,0.5,0.44749273255813954,0.44749273255813954,0.25
internal_test,0.75,0.6902707122093024,0.6902707122093024,0.25
internal_test,1.0,0.8882630813953488,0.8882630813953488,0.25
external,0.25,0.2159108832807571,0.2159108832807571,0.25
external,0.5,0.4652011041009464,0.4652011041009464,0.2500092710319983
external,0.75,0.7144518927444795,0.7144518927444795,0.25003363275105556
external,1.0,0.9318316246056783,0.9318316246056783,0.2500971965088601
