feature_code,feature,n_train,absolute_pearson,normalized_mutual_information,xgboost_oof_shap_association,grouped_permutation_delta_log_loss
F1,machine_time__mean,563,0.22456886080009492,0.2138730221272218,0.2105941410605278,-0.010022819230508032
F2,z_position__mean,563,0.03278981422176526,0.17517578633672215,0.21153257653086727,0.0034081151064831072
F3,Tool__train_frequency,563,0.2250704500335164,0.08557306485573273,0.014388532501942658,6.57412157820129e-05
F4,available_duration_s,563,0.7916561238100354,0.26955289380526687,0.8296658141035572,0.03517366544209198
F5,smarms__energy,563,0.7633750723791071,0.2908958962756075,0.1982449052054197,0.002457450011516583
F6,part_count__mean,563,0.2071610223630465,0.2138730221272218,0.00807373795236212,-8.34759430892138e-05
F7,smapeak__energy,563,0.7542255765450094,0.28980273819519026,0.35796218762669646,-0.0038497519511254117
F8,ymapeak__energy,563,0.7812911787246614,0.2848888977362177,1.0,0.08333096842035177
F9,machine_time__energy,563,0.7792043335354503,0.2533240674420125,0.3132311056018083,-0.010022819230508032
F10,zmapeak__energy,563,0.5816188418165089,0.2723192807212327,0.9615266305618227,0.05258651009266572
F11,smvrms__energy,563,0.7814138049895818,0.2679683466042606,0.4942911841434465,0.0022906592738965474
F12,spindle_time__energy,563,0.7771274131461329,0.2533240674420125,0.12339277643627154,-0.0019183698526979262
