time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,121.6667,1,50,0,0,100,0.0,35921.6,1792.93,20.0351,0.000257442,0.218334,0,563.3088219,2568.45,161.724,15.8817,0.000144225,0.0781563,0,301.209224,552.395,994.94,0.555204,0.000194176,0.290524,10,-170.9428351,1514.27,195.052,7.76342,0.000332394,0.0897624
0.140057,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,148.7,1,50,0,0,100,0.0,35921.6,1792.93,20.0351,0.000257442,0.218334,2,532.83048,2568.45,161.724,15.8817,0.000144225,0.0781563,1,283.7401554,552.395,994.94,0.555204,0.000194176,0.290524,5,-170.9545993,1514.27,195.052,7.76342,0.000332394,0.0897624
0.282937,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,148.7,1,50,0,0,100,0.0,35921.6,1792.93,20.0351,0.000257442,0.218334,0,530.9326574,2568.45,161.724,15.8817,0.000144225,0.0781563,0,282.6532435,552.395,994.94,0.555204,0.000194176,0.290524,5,-170.9545879,1514.27,195.052,7.76342,0.000332394,0.0897624
0.432142,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,111.4167,1,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.9234234,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6476359,720.512,50.4275,14.2881,1.85671e-05,0.00889539,5,-172.9181936,1562.35,40.639,38.4446,0.000480817,0.0867576
0.569644,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,178.0833,1,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.923123,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6474642,720.512,50.4275,14.2881,1.85671e-05,0.00889539,0,-210.4563144,1562.35,40.639,38.4446,0.000480817,0.0867576
0.712811,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2936.6575,100,200.0,1,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.9231301,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6474785,720.512,50.4275,14.2881,1.85671e-05,0.00889539,3,-220.7559999,1562.35,40.639,38.4446,0.000480817,0.0867576
0.858731,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,200.0,2,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.9231444,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6474928,720.512,50.4275,14.2881,1.85671e-05,0.00889539,3,-241.3062144,1562.35,40.639,38.4446,0.000480817,0.0867576
0.996163,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,100.2167,2,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.923173,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6474928,720.512,50.4275,14.2881,1.85671e-05,0.00889539,6,-272.4778299,1562.35,40.639,38.4446,0.000480817,0.0867576
1.155251,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,9,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,23.28333,2,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.9231802,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6475143,720.512,50.4275,14.2881,1.85671e-05,0.00889539,5,-273.4918045,1562.35,40.639,38.4446,0.000480817,0.0867576
1.301373,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,9,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,23.28333,2,50,0,0,100,0.0,36689.5,549.482,66.7711,0.000180533,0.0789926,0,530.9231873,1152.2,35.5741,32.3887,3.46282e-05,0.0129523,0,282.6474928,720.512,50.4275,14.2881,1.85671e-05,0.00889539,5,-278.2914848,1562.35,40.639,38.4446,0.000480817,0.0867576
1.442022,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,9,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,23.28333,2,50,0,0,100,0.0,4943.12,211.919,23.3255,4.21606e-05,0.0234605,0,530.9231945,1176.2,35.7984,32.8562,2.8805e-05,0.0116574,0,282.6475,360.257,49.3254,7.30368,5.77996e-05,0.0119755,5,-283.0818699,336.505,36.677,9.17482,0.000403343,0.0673204
1.589402,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,9,5,ACTIVE,42,E_P3_NEW3-A3.NC,E_P3_NEW3-A3.NC,42510.95,211856.19,5769.3,2548.812,100,23.28333,2,50,0,0,100,0.0,4943.12,211.919,23.3255,4.21606e-05,0.0234605,0,530.9231873,1176.2,35.7984,32.8562,2.8805e-05,0.0116574,0,282.6474928,360.257,49.3254,7.30368,5.77996e-05,0.0119755,5,-285.4860304,336.505,36.677,9.17482,0.000403343,0.0673204
