start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
9.6,12.971,2,UP,6000,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
15.573,18.965,2,DOWN,6000,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
23.019,26.432,2,UP,6500,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
28.992,32.405,2,DOWN,6500,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
36.48,39.872,2,UP,7000,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
42.453,45.845,2,DOWN,7000,19.05,0.3175,16.93333,5,12.7,E*,AISI 4140
50.517,54.421,2,UP,5250,19.05,0.1905,14.81667,5,12.7,E*,AISI 4140
57.195,61.035,2,DOWN,5250,19.05,0.1905,14.81667,5,12.7,E*,AISI 4140
65.259,69.141,2,UP,5750,19.05,0.1905,14.81667,5,12.7,E*,AISI 4140
71.893,75.797,2,DOWN,5750,19.05,0.3175,14.81667,5,12.7,E*,AISI 4140
80.043,83.925,2,UP,6250,19.05,0.1905,14.81667,5,12.7,E*,AISI 4140
86.677,90.56,2,DOWN,6250,19.05,0.1905,14.81667,5,12.7,E*,AISI 4140
