start,end,label,direction,N,ap,ae,F,Z,D,Tool,Workpiece
11.456,13.739,0,UP,2250,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
17.536,19.328,0,DOWN,2250,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
25.579,27.413,0,UP,2250,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
30.72,32.128,0,DOWN,2250,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
37.803,39.339,0,UP,2250,0.254,26.67,50.8,5,50.6,C2,AISI 1018
42.283,43.477,0,DOWN,2250,0.254,26.67,50.8,5,50.6,C2,AISI 1018
48.768,50.091,0,UP,2250,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
52.8,54.016,0,DOWN,2250,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
59.669,61.952,0,UP,2750,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
65.771,67.563,0,DOWN,2750,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
73.792,75.627,0,UP,2750,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
78.912,80.341,0,DOWN,2750,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
86.016,87.552,0,UP,2750,0.254,26.67,50.8,5,50.6,C2,AISI 1018
90.496,91.776,0,DOWN,2750,0.254,26.67,50.8,5,50.6,C2,AISI 1018
96.981,98.304,0,UP,2750,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
101.013,102.037,0,DOWN,2750,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
107.691,109.995,0,UP,3000,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
113.792,115.605,0,DOWN,3000,0.254,26.67,33.86667,5,50.6,C2,AISI 1018
121.813,123.648,0,UP,3000,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
126.955,128.363,0,DOWN,3000,0.254,26.67,42.33333,5,50.6,C2,AISI 1018
134.037,135.595,0,UP,3000,0.254,26.67,50.8,5,50.6,C2,AISI 1018
138.517,139.925,0,DOWN,3000,0.254,26.67,50.8,5,50.6,C2,AISI 1018
145.003,146.325,0,UP,3000,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
149.035,150.315,0,DOWN,3000,0.254,26.67,59.26667,5,50.6,C2,AISI 1018
